company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
ABB,2012-12,P,N,N,Growth
ABB,2014-03,P,P,P,Growth
ABB,2015-03,N,N,P,Mixed
ABB,2016-03,P,N,N,Growth
ABB,2017-03,P,N,N,Growth
ABB,2018-03,P,N,P,Mixed
ABB,2019-03,P,N,P,Mixed
ABB,2020-03,P,N,P,Mixed
ABB,2021-03,P,N,N,Growth
ABB,2022-03,P,N,N,Growth
ABB,2023-03,P,N,P,Mixed
ABB,2024-03,P,N,N,Growth
ADANIENSOL,2014-03,P,P,P,Growth
ADANIENSOL,2015-03,N,N,P,Mixed
ADANIENSOL,2016-03,P,N,N,Growth
ADANIENSOL,2017-03,P,N,N,Growth
ADANIENSOL,2018-03,P,N,P,Mixed
ADANIENSOL,2019-03,P,N,P,Mixed
ADANIENSOL,2020-03,P,N,P,Mixed
ADANIENSOL,2021-03,P,N,N,Growth
ADANIENSOL,2022-03,P,N,N,Growth
ADANIENSOL,2023-03,P,N,P,Mixed
ADANIENSOL,2024-03,P,N,N,Growth
ADANIENT,2013-03,P,N,P,Mixed
ADANIENT,2014-03,P,N,N,Growth
ADANIENT,2015-03,P,N,P,Mixed
ADANIENT,2016-03,P,N,N,Growth
ADANIENT,2017-03,P,N,P,Mixed
ADANIENT,2018-03,P,N,P,Mixed
ADANIENT,2019-03,P,P,N,Reinvestor
ADANIENT,2020-03,P,N,N,Growth
ADANIENT,2021-03,P,N,P,Mixed
ADANIENT,2022-03,P,N,P,Mixed
ADANIENT,2023-03,P,N,N,Growth
ADANIENT,2024-03,P,N,P,Mixed
ADANIGREEN,2017-03,P,N,P,Mixed
ADANIGREEN,2018-03,P,N,P,Mixed
ADANIGREEN,2019-03,P,N,P,Mixed
ADANIGREEN,2020-03,P,N,P,Mixed
ADANIGREEN,2021-03,P,N,P,Mixed
ADANIGREEN,2022-03,P,N,P,Mixed
ADANIGREEN,2023-03,P,N,N,Growth
ADANIGREEN,2024-03,P,N,P,Mixed
ADANIPORTS,2013-03,P,N,P,Mixed
ADANIPORTS,2014-03,P,N,P,Mixed
ADANIPORTS,2015-03,P,N,N,Growth
ADANIPORTS,2016-03,P,N,P,Mixed
ADANIPORTS,2017-03,P,N,N,Growth
ADANIPORTS,2018-03,P,N,N,Growth
ADANIPORTS,2019-03,P,N,P,Mixed
ADANIPORTS,2020-03,P,N,N,Growth
ADANIPORTS,2021-03,P,N,P,Mixed
ADANIPORTS,2022-03,P,N,N,Growth
ADANIPORTS,2023-03,P,N,N,Growth
ADANIPORTS,2024-03,P,N,N,Growth
ADANIPOWER,2013-03,P,N,P,Mixed
ADANIPOWER,2014-03,P,N,P,Mixed
ADANIPOWER,2015-03,P,N,N,Growth
ADANIPOWER,2016-03,P,N,N,Growth
ADANIPOWER,2017-03,P,N,N,Growth
ADANIPOWER,2018-03,P,N,N,Growth
ADANIPOWER,2019-03,P,N,N,Growth
ADANIPOWER,2020-03,P,N,N,Growth
ADANIPOWER,2021-03,P,N,N,Growth
ADANIPOWER,2022-03,P,P,N,Growth
ADANIPOWER,2023-03,P,P,N,Growth
ADANIPOWER,2024-03,P,P,N,Growth
AMBUJACEM,2012-12,P,N,N,Growth
AMBUJACEM,2013-12,P,N,N,Growth
AMBUJACEM,2014-12,P,N,N,Growth
AMBUJACEM,2015-12,P,N,N,Growth
AMBUJACEM,2016-12,P,N,N,Growth
AMBUJACEM,2017-12,P,N,N,Growth
AMBUJACEM,2018-12,P,N,N,Growth
AMBUJACEM,2019-12,P,N,N,Growth
AMBUJACEM,2020-12,P,N,N,Growth
AMBUJACEM,2021-12,P,N,N,Growth
AMBUJACEM,2024-03,P,N,P,Mixed
APOLLOHOSP,2013-03,P,N,P,Mixed
APOLLOHOSP,2014-03,P,N,N,Growth
APOLLOHOSP,2015-03,P,N,P,Mixed
APOLLOHOSP,2016-03,P,N,P,Mixed
APOLLOHOSP,2017-03,P,N,P,Mixed
APOLLOHOSP,2018-03,P,N,N,Growth
APOLLOHOSP,2019-03,P,N,N,Growth
APOLLOHOSP,2020-03,P,N,N,Growth
APOLLOHOSP,2021-03,P,N,N,Growth
APOLLOHOSP,2022-03,P,N,N,Growth
APOLLOHOSP,2023-03,P,N,N,Growth
APOLLOHOSP,2024-03,P,N,N,Growth
ASIANPAINT,2013-03,P,N,N,Growth
ASIANPAINT,2014-03,P,N,N,Growth
ASIANPAINT,2015-03,P,N,N,Growth
ASIANPAINT,2016-03,P,N,N,Growth
ASIANPAINT,2017-03,P,N,N,Growth
ASIANPAINT,2018-03,P,N,N,Growth
ASIANPAINT,2019-03,P,N,N,Growth
ASIANPAINT,2020-03,P,N,N,Growth
ASIANPAINT,2021-03,P,N,N,Growth
ASIANPAINT,2022-03,P,N,N,Growth
ASIANPAINT,2023-03,P,N,N,Growth
ASIANPAINT,2024-03,P,N,N,Growth
AXISBANK,2013-03,P,N,P,Mixed
AXISBANK,2014-03,P,N,P,Mixed
AXISBANK,2015-03,N,N,P,Mixed
AXISBANK,2016-03,N,P,P,Mixed
AXISBANK,2017-03,P,N,N,Growth
AXISBANK,2018-03,N,N,P,Mixed
AXISBANK,2019-03,P,N,P,Mixed
AXISBANK,2020-03,P,N,P,Mixed
AXISBANK,2021-03,P,N,P,Mixed
AXISBANK,2022-03,P,N,P,Mixed
AXISBANK,2023-03,P,N,P,Mixed
AXISBANK,2024-03,N,N,P,Mixed
BAJAJ-AUTO,2013-03,P,N,N,Growth
BAJAJ-AUTO,2014-03,P,N,N,Growth
BAJAJ-AUTO,2015-03,P,N,N,Growth
BAJAJ-AUTO,2016-03,P,N,N,Growth
BAJAJ-AUTO,2017-03,P,N,N,Growth
BAJAJ-AUTO,2018-03,P,N,N,Growth
BAJAJ-AUTO,2019-03,P,N,N,Growth
BAJAJ-AUTO,2020-03,P,P,N,Reinvestor
BAJAJ-AUTO,2021-03,P,N,N,Growth
